Orion/([\d.]+)	1	Orion	Low	Certain
NSC/([\d.]+) \(JVM\)	1	Nexpose	Low	Certain
Perl/v([\d.]+)	1	Perl	Low	Certain
PHP/([\d]+[\.]+(?:[-\w\d\.]+)?)	1	PHP	Low	Certain	2
Phusion Passenger(?: \([a-zA-Z_/]+\))? ([\d.]+)	1	Phusion Passenger	Low	Certain
Prototype\s*=\s*\{\s*Version:\s*["']([\d.]+)["']	1	Prototype	Information	Certain
Python/([\d.]+)	1	Python	Low	Certain	2
ReDoc Version:\s+([\d.\-rc]+)	1	ReDoc	Low	Certain	1	https://github.com/Redocly/redoc
RestServices(>|":\s*")([\d.]+)	2	Mendix RestServices	Low	Certain	2
>Roxen CMS<[\S\s]*?\|[\s\S]*?version ([\d.]+)	1	Roxen CMS	Low	Certain	2
Ruby/([\d.]+(?:/\d{4}-\d{2}-\d{2})?)	1	Ruby	Low	Certain
Servlet[ /]([\d.]+)	1	Generic Java Servlet engine (possibly JBoss)	Low	Certain
Sitefinity(\.Resources(,|%2c)( |\+|%20)Version(=|%3d))?\s*([\d.]+)	5	Sitefinity CMS	Low	Certain	3
Sizzle (?:CSS Selector Engine[- ]*)?v([\d.]+(?:-\w+)?)	1	Sizzle CSS Selector Engine	Information	Certain	3
SOAP::Lite/Perl/([\d.]+)	1	SOAP::Lite	Low	Certain
spray-can/([\d.]+)	1	Spray	Low	Certain
squid/([\d.]+)	1	Squid Cache	Low	Certain
Sun-Java-System-Web-Server/([\d.]+.*)	1	Oracle iPlanet	Low	Certain
<!-- (20\d\d\.\d+\.\d+\.\d+) -->	1	Telerik	Low	Firm	2
Tomcat-([\d.]+)	1	JBoss (Tomcat)	Low	Certain
TornadoServer/([\d.]+)	1	Tornado Server	Low	Certain
Underscore\.js ([\d.]+)	1	Underscore.js	Information	Certain
X-Powered-By: Undertow/([\d.]+)	1	Undertow	Low	Certain		http://undertow.io/
var APPLICATION_FULL_VERSION = '([\d.]+)';	1	Microsoft CRM	Information	Certain
Varnish/([\d.]+)	1	Varnish Cache	Low	Certain
([\d.]+) varnish	1	Varnish Cache	Low	Certain
"version":\s*"([a-z0-9\.\+]+)"	1	Generic	Information	Firm	2
Via: ([\d.]+) vegur	1	Vegur Proxy	Low	Certain		https://github.com/heroku/vegur
WEBrick/([\d.]+)	1	WEBrick	Low	Certain
WebSockify Python/([\d.]+)	1	Python (Websockify)	Low	Certain
WebSphere Application Server/([\d.]+)	1	IBM WebSphere Application Server	Low	Certain
Werkzeug/([\d.]+)	1	Werkzeug	Low	Certain		https://werkzeug.palletsprojects.com/
WildFly/([\d.]+)	1	WildFly	Low	Certain		http://wildfly.org/
X-AspNet-Version: ([\d.]+)	1	ASP.Net	Low	Firm
X-AspNetMvc-Version: ([\d.]+)	1	ASP.Net MVC Framework	Low	Certain
X-Cocoon-Version: ([\d.]+)	1	Apache Cocoon	Low	Certain
X-OWA-Version: ([\d.]+)	1	Outlook Web Access	Low	Certain
X-Tealeaf":"device\s+\(UIC\)\s+Lib/([\d.]+)	1	IBM TeaLeaf	Information	Certain
X-TeaLeaf-UIEventCapture-Version: ([\d.]+)	1	IBM TeaLeaf	Low	Certain
envoy/([\d.]+)	1	Envoy	Low	Certain
istio-envoy	0	Istio Envoy	Low	Firm
Caddy/?([\d.]+)	1	Caddy	Low	Certain
cloudflare	0	Cloudflare	Low	Firm
cloudfront	0	AWS CloudFront	Low	Firm
Fastly	0	Fastly	Low	Firm
AkamaiGHost	0	AkamaiGHost	Low	Firm
BunnyCDN-([\d.]+)	1	BunnyCDN	Low	Firm
Kestrel	0	ASP.Net Kestrel	Low	Firm
uvicorn	0	Uvicorn	Low	Firm
hypercorn/?([\d.]+)	1	Hypercorn	Low	Certain
daphne/?([\d.]+)	1	Daphne	Low	Certain
aiohttp/?([\d.]+)	1	aiohttp	Low	Certain
FastAPI	0	FastAPI	Information	Firm
Express	0	Express	Information	Firm
NestJS	0	NestJS	Information	Firm
Next.js v?([\d.]+)	1	Next.js	Information	Certain
next/static/	0	Next.js	Information	Firm
Nuxt.js v?([\d.]+)	1	Nuxt.js	Information	Certain
NUXT	0	Nuxt.js	Information	Firm
React(?:DOM)?(?:.production.min)?.js[: ]?([\d.]+)?	1	React	Information	Firm
Vue(?:.js)? v?([\d.]+)	1	Vue.js	Information	Certain
Angular v?([\d.]+)	1	Angular	Information	Certain
SvelteKit	0	SvelteKit	Information	Firm
Remix	0	Remix	Information	Firm
Vercel	0	Vercel	Low	Firm
Netlify	0	Netlify	Low	Firm
Heroku	0	Heroku	Low	Firm
fly.io	0	Fly.io	Low	Firm
supabase	0	Supabase	Information	Firm
firebase	0	Firebase	Information	Firm
auth0	0	Auth0	Information	Firm
okta	0	Okta	Information	Firm
clerk(?:[-]js[_-]version=|/)([\d.]+)	1	Clerk	Information	Certain
posthog(?:.?ver=| JS v?)([\d.]+)	1	PostHog	Information	Certain
sentry(?:.?version[”:= ]+)([\d.]+)	1	Sentry	Information	Firm
segment	0	Segment	Information	Firm
swagger-ui(?:/|.?version[”:= ]+)([\d.]+)	1	Swagger UI	Information	Firm
RapiDoc(?:.?version[”:= ]+)([\d.]+)	1	RapiDoc	Information	Firm
Scalar(?:.?version[”:= ]+)([\d.]+)	1	Scalar API Docs	Information	Firm
graphql	0	GraphQL	Information	Firm
Apollo Server	0	Apollo Server	Information	Firm
Apollo Client	0	Apollo Client	Information	Firm
Traefik/?([\d.]+)	1	Traefik	Low	Certain
kong/?([\d.]+)	1	Kong	Low	Certain
APISIX/?([\d.]+)	1	Apache APISIX	Low	Certain
Tengine/?([\d.]+)	1	Tengine	Low	Certain
OpenLiteSpeed/?([\d.]+)	1	OpenLiteSpeed	Low	Certain
LiteSpeed/?([\d.]+)	1	LiteSpeed	Low	Certain
Django/?([\d.]+)	1	Django	Low	Certain
Flask/?([\d.]+)	1	Flask	Low	Certain
Werkzeug/?([\d.]+)	1	Werkzeug	Low	Certain
Laravel/?([\d.]+)	1	Laravel	Low	Certain
Symfony/?([\d.]+)	1	Symfony	Low	Certain
Spring Boot/?([\d.]+)	1	Spring Boot	Low	Certain
Quarkus/?([\d.]+)	1	Quarkus	Low	Certain
Micronaut/?([\d.]+)	1	Micronaut	Low	Certain
Undertow/?([\d.]+)	1	Undertow	Low	Certain
grpc	0	gRPC	Information	Firm
protobuf	0	Protocol Buffers	Information	Firm
bootstrap(?:.min)?.css[: ]?([\d.]+)	1	Bootstrap	Information	Certain
lodash(?:.min)?.js[: ]?([\d.]+)	1	Lodash	Information	Certain
axios(?:.min)?.js[: ]?([\d.]+)	1	Axios	Information	Certain
moment(?:.min)?.js[: ]?([\d.]+)	1	Moment.js	Information	Certain
Chart.js[: ]?([\d.]+)	1	Chart.js	Information	Certain
DataTables(?:.?version[”:= ]+)([\d.]+)	1	DataTables	Information	Firm
Leaflet[: ]?([\d.]+)	1	Leaflet	Information	Certain
Mapbox(?: GL JS)?[: ]?([\d.]+)	1	Mapbox	Information	Firm
